Individual ID,Population,Super population,Population Details,Super population Details
HG01842,KHV,EAS,King Vietnamese,East Asian
HG01843,KHV,EAS,King Vietnamese,East Asian
HG01844,KHV,EAS,King Vietnamese,East Asian
HG01845,KHV,EAS,King Vietnamese,East Asian
HG01846,KHV,EAS,King Vietnamese,East Asian
HG01847,KHV,EAS,King Vietnamese,East Asian
HG01848,KHV,EAS,King Vietnamese,East Asian
HG01849,KHV,EAS,King Vietnamese,East Asian
HG01850,KHV,EAS,King Vietnamese,East Asian
HG01851,KHV,EAS,King Vietnamese,East Asian
HG01852,KHV,EAS,King Vietnamese,East Asian
HG01853,KHV,EAS,King Vietnamese,East Asian
HG01855,KHV,EAS,King Vietnamese,East Asian
HG01857,KHV,EAS,King Vietnamese,East Asian
HG01858,KHV,EAS,King Vietnamese,East Asian
HG01859,KHV,EAS,King Vietnamese,East Asian
HG01860,KHV,EAS,King Vietnamese,East Asian
HG01861,KHV,EAS,King Vietnamese,East Asian
HG01862,KHV,EAS,King Vietnamese,East Asian
HG01863,KHV,EAS,King Vietnamese,East Asian
HG01864,KHV,EAS,King Vietnamese,East Asian
HG01865,KHV,EAS,King Vietnamese,East Asian
HG01866,KHV,EAS,King Vietnamese,East Asian
HG01867,KHV,EAS,King Vietnamese,East Asian
HG01868,KHV,EAS,King Vietnamese,East Asian
HG01869,KHV,EAS,King Vietnamese,East Asian
HG01870,KHV,EAS,King Vietnamese,East Asian
HG01871,KHV,EAS,King Vietnamese,East Asian
HG01872,KHV,EAS,King Vietnamese,East Asian
HG01873,KHV,EAS,King Vietnamese,East Asian
HG01874,KHV,EAS,King Vietnamese,East Asian
HG01878,KHV,EAS,King Vietnamese,East Asian
HG01879,ACB,AMR,African-Caribbean,American
HG01880,ACB,AMR,African-Caribbean,American
HG01882,ACB,AMR,African-Caribbean,American
HG01883,ACB,AMR,African-Caribbean,American
HG01885,ACB,AMR,African-Caribbean,American
HG01886,ACB,AMR,African-Caribbean,American
HG01889,ACB,AMR,African-Caribbean,American
HG01890,ACB,AMR,African-Caribbean,American
HG01892,PEL,AMR,Peruvian,American
HG01893,PEL,AMR,Peruvian,American
HG01894,ACB,AMR,African-Caribbean,American
HG01896,ACB,AMR,African-Caribbean,American
HG01912,ACB,AMR,African-Caribbean,American
HG01914,ACB,AMR,African-Caribbean,American
HG01915,ACB,AMR,African-Caribbean,American
HG01917,PEL,AMR,Peruvian,American
HG01918,PEL,AMR,Peruvian,American
HG01920,PEL,AMR,Peruvian,American
HG01921,PEL,AMR,Peruvian,American
HG01923,PEL,AMR,Peruvian,American
HG01924,PEL,AMR,Peruvian,American
HG01926,PEL,AMR,Peruvian,American
HG01927,PEL,AMR,Peruvian,American
HG01932,PEL,AMR,Peruvian,American
HG01933,PEL,AMR,Peruvian,American
HG01935,PEL,AMR,Peruvian,American
HG01936,PEL,AMR,Peruvian,American
HG01938,PEL,AMR,Peruvian,American
HG01939,PEL,AMR,Peruvian,American
HG01941,PEL,AMR,Peruvian,American
HG01942,PEL,AMR,Peruvian,American
HG01944,PEL,AMR,Peruvian,American
HG01945,PEL,AMR,Peruvian,American
HG01947,PEL,AMR,Peruvian,American
HG01948,PEL,AMR,Peruvian,American
HG01950,PEL,AMR,Peruvian,American
HG01951,PEL,AMR,Peruvian,American
HG01953,PEL,AMR,Peruvian,American
HG01954,PEL,AMR,Peruvian,American
HG01956,ACB,AMR,African-Caribbean,American
HG01958,ACB,AMR,African-Caribbean,American
HG01961,PEL,AMR,Peruvian,American
HG01965,PEL,AMR,Peruvian,American
HG01967,PEL,AMR,Peruvian,American
HG01968,PEL,AMR,Peruvian,American
HG01970,PEL,AMR,Peruvian,American
HG01971,PEL,AMR,Peruvian,American
HG01973,PEL,AMR,Peruvian,American
HG01974,PEL,AMR,Peruvian,American
HG01976,PEL,AMR,Peruvian,American
HG01977,PEL,AMR,Peruvian,American
HG01979,PEL,AMR,Peruvian,American
HG01980,PEL,AMR,Peruvian,American
HG01982,PEL,AMR,Peruvian,American
HG01985,ACB,AMR,African-Caribbean,American
HG01986,ACB,AMR,African-Caribbean,American
HG01988,ACB,AMR,African-Caribbean,American
HG01989,ACB,AMR,African-Caribbean,American
HG01990,ACB,AMR,African-Caribbean,American
HG01991,PEL,AMR,Peruvian,American
HG01992,PEL,AMR,Peruvian,American
HG01997,PEL,AMR,Peruvian,American
HG02002,PEL,AMR,Peruvian,American
HG02003,PEL,AMR,Peruvian,American
HG02006,PEL,AMR,Peruvian,American
HG02008,PEL,AMR,Peruvian,American
HG02009,ACB,AMR,African-Caribbean,American
HG02010,ACB,AMR,African-Caribbean,American
HG02012,ACB,AMR,African-Caribbean,American
HG02013,ACB,AMR,African-Caribbean,American
HG02014,ACB,AMR,African-Caribbean,American
HG02016,KHV,EAS,King Vietnamese,East Asian
HG02017,KHV,EAS,King Vietnamese,East Asian
HG02019,KHV,EAS,King Vietnamese,East Asian
HG02020,KHV,EAS,King Vietnamese,East Asian
HG02023,KHV,EAS,King Vietnamese,East Asian
HG02025,KHV,EAS,King Vietnamese,East Asian
HG02026,KHV,EAS,King Vietnamese,East Asian
HG02028,KHV,EAS,King Vietnamese,East Asian
HG02029,KHV,EAS,King Vietnamese,East Asian
HG02031,KHV,EAS,King Vietnamese,East Asian
HG02032,KHV,EAS,King Vietnamese,East Asian
HG02035,KHV,EAS,King Vietnamese,East Asian
HG02040,KHV,EAS,King Vietnamese,East Asian
HG02047,KHV,EAS,King Vietnamese,East Asian
HG02048,KHV,EAS,King Vietnamese,East Asian
HG02049,KHV,EAS,King Vietnamese,East Asian
HG02050,KHV,EAS,King Vietnamese,East Asian
HG02051,ACB,AMR,African-Caribbean,American
HG02052,ACB,AMR,African-Caribbean,American
HG02053,ACB,AMR,African-Caribbean,American
HG02054,ACB,AMR,African-Caribbean,American
HG02057,KHV,EAS,King Vietnamese,East Asian
HG02058,KHV,EAS,King Vietnamese,East Asian
HG02060,KHV,EAS,King Vietnamese,East Asian
HG02061,KHV,EAS,King Vietnamese,East Asian
HG02064,KHV,EAS,King Vietnamese,East Asian
HG02067,KHV,EAS,King Vietnamese,East Asian
HG02069,KHV,EAS,King Vietnamese,East Asian
HG02070,KHV,EAS,King Vietnamese,East Asian
HG02072,KHV,EAS,King Vietnamese,East Asian
HG02073,KHV,EAS,King Vietnamese,East Asian
HG02075,KHV,EAS,King Vietnamese,East Asian
HG02076,KHV,EAS,King Vietnamese,East Asian
HG02078,KHV,EAS,King Vietnamese,East Asian
HG02079,KHV,EAS,King Vietnamese,East Asian
HG02081,KHV,EAS,King Vietnamese,East Asian
HG02082,KHV,EAS,King Vietnamese,East Asian
HG02084,KHV,EAS,King Vietnamese,East Asian
HG02085,KHV,EAS,King Vietnamese,East Asian
HG02086,KHV,EAS,King Vietnamese,East Asian
HG02087,KHV,EAS,King Vietnamese,East Asian
HG02088,KHV,EAS,King Vietnamese,East Asian
HG02089,PEL,AMR,Peruvian,American
HG02090,PEL,AMR,Peruvian,American
HG02095,ACB,AMR,African-Caribbean,American
HG02102,PEL,AMR,Peruvian,American
HG02104,PEL,AMR,Peruvian,American
HG02105,PEL,AMR,Peruvian,American
HG02107,ACB,AMR,African-Caribbean,American
HG02108,ACB,AMR,African-Caribbean,American
HG02111,ACB,AMR,African-Caribbean,American
HG02113,KHV,EAS,King Vietnamese,East Asian
HG02116,KHV,EAS,King Vietnamese,East Asian
HG02121,KHV,EAS,King Vietnamese,East Asian
HG02122,KHV,EAS,King Vietnamese,East Asian
HG02127,KHV,EAS,King Vietnamese,East Asian
HG02128,KHV,EAS,King Vietnamese,East Asian
HG02130,KHV,EAS,King Vietnamese,East Asian
HG02131,KHV,EAS,King Vietnamese,East Asian
HG02133,KHV,EAS,King Vietnamese,East Asian
HG02134,KHV,EAS,King Vietnamese,East Asian
HG02136,KHV,EAS,King Vietnamese,East Asian
HG02137,KHV,EAS,King Vietnamese,East Asian
HG02138,KHV,EAS,King Vietnamese,East Asian
HG02139,KHV,EAS,King Vietnamese,East Asian
HG02140,KHV,EAS,King Vietnamese,East Asian
HG02141,KHV,EAS,King Vietnamese,East Asian
HG02142,KHV,EAS,King Vietnamese,East Asian
HG02143,ACB,AMR,African-Caribbean,American
HG02144,ACB,AMR,African-Caribbean,American
HG02146,PEL,AMR,Peruvian,American
HG02147,PEL,AMR,Peruvian,American
HG02150,PEL,AMR,Peruvian,American
HG02151,CDX,EAS,Dai Chinese,East Asian
HG02152,CDX,EAS,Dai Chinese,East Asian
HG02153,CDX,EAS,Dai Chinese,East Asian
HG02154,CDX,EAS,Dai Chinese,East Asian
HG02155,CDX,EAS,Dai Chinese,East Asian
HG02156,CDX,EAS,Dai Chinese,East Asian
HG02164,CDX,EAS,Dai Chinese,East Asian
HG02165,CDX,EAS,Dai Chinese,East Asian
HG02166,CDX,EAS,Dai Chinese,East Asian
HG02178,CDX,EAS,Dai Chinese,East Asian
HG02179,CDX,EAS,Dai Chinese,East Asian
HG02180,CDX,EAS,Dai Chinese,East Asian
HG02181,CDX,EAS,Dai Chinese,East Asian
HG02182,CDX,EAS,Dai Chinese,East Asian
HG02184,CDX,EAS,Dai Chinese,East Asian
HG02185,CDX,EAS,Dai Chinese,East Asian
HG02186,CDX,EAS,Dai Chinese,East Asian
HG02187,CDX,EAS,Dai Chinese,East Asian
HG02188,CDX,EAS,Dai Chinese,East Asian
HG02190,CDX,EAS,Dai Chinese,East Asian
HG02215,GBR,EUR,British,European
HG02219,IBS,EUR,Spanish,European
HG02220,IBS,EUR,Spanish,European
HG02221,IBS,EUR,Spanish,European
HG02223,IBS,EUR,Spanish,European
HG02224,IBS,EUR,Spanish,European
HG02230,IBS,EUR,Spanish,European
HG02231,IBS,EUR,Spanish,European
HG02232,IBS,EUR,Spanish,European
HG02233,IBS,EUR,Spanish,European
HG02235,IBS,EUR,Spanish,European
HG02236,IBS,EUR,Spanish,European
HG02238,IBS,EUR,Spanish,European
HG02239,IBS,EUR,Spanish,European
HG02250,CDX,EAS,Dai Chinese,East Asian
HG02252,PEL,AMR,Peruvian,American
HG02253,PEL,AMR,Peruvian,American
HG02255,ACB,AMR,African-Caribbean,American
HG02256,ACB,AMR,African-Caribbean,American
HG02259,PEL,AMR,Peruvian,American
HG02260,PEL,AMR,Peruvian,American
HG02262,PEL,AMR,Peruvian,American
HG02265,PEL,AMR,Peruvian,American
HG02266,PEL,AMR,Peruvian,American
HG02271,PEL,AMR,Peruvian,American
HG02272,PEL,AMR,Peruvian,American
HG02274,PEL,AMR,Peruvian,American
HG02275,PEL,AMR,Peruvian,American
HG02277,PEL,AMR,Peruvian,American
HG02278,PEL,AMR,Peruvian,American
HG02281,ACB,AMR,African-Caribbean,American
HG02282,ACB,AMR,African-Caribbean,American
HG02283,ACB,AMR,African-Caribbean,American
HG02284,ACB,AMR,African-Caribbean,American
HG02285,PEL,AMR,Peruvian,American
HG02286,PEL,AMR,Peruvian,American
HG02291,PEL,AMR,Peruvian,American
HG02292,PEL,AMR,Peruvian,American
HG02298,PEL,AMR,Peruvian,American
HG02299,PEL,AMR,Peruvian,American
HG02301,PEL,AMR,Peruvian,American
HG02304,PEL,AMR,Peruvian,American
HG02307,ACB,AMR,African-Caribbean,American
HG02308,ACB,AMR,African-Caribbean,American
HG02309,ACB,AMR,African-Caribbean,American
HG02312,PEL,AMR,Peruvian,American
HG02314,ACB,AMR,African-Caribbean,American
HG02315,ACB,AMR,African-Caribbean,American
HG02317,ACB,AMR,African-Caribbean,American
HG02318,ACB,AMR,African-Caribbean,American
HG02322,ACB,AMR,African-Caribbean,American
HG02323,ACB,AMR,African-Caribbean,American
HG02325,ACB,AMR,African-Caribbean,American
HG02330,ACB,AMR,African-Caribbean,American
HG02332,ACB,AMR,African-Caribbean,American
HG02334,ACB,AMR,African-Caribbean,American
HG02337,ACB,AMR,African-Caribbean,American
HG02339,ACB,AMR,African-Caribbean,American
HG02343,ACB,AMR,African-Caribbean,American
HG02345,PEL,AMR,Peruvian,American
HG02348,PEL,AMR,Peruvian,American
HG02351,CDX,EAS,Dai Chinese,East Asian
HG02353,CDX,EAS,Dai Chinese,East Asian
HG02355,CDX,EAS,Dai Chinese,East Asian
HG02356,CDX,EAS,Dai Chinese,East Asian
HG02360,CDX,EAS,Dai Chinese,East Asian
HG02364,CDX,EAS,Dai Chinese,East Asian
HG02367,CDX,EAS,Dai Chinese,East Asian
HG02371,CDX,EAS,Dai Chinese,East Asian
HG02373,CDX,EAS,Dai Chinese,East Asian
HG02374,CDX,EAS,Dai Chinese,East Asian
HG02375,CDX,EAS,Dai Chinese,East Asian
HG02379,CDX,EAS,Dai Chinese,East Asian
HG02380,CDX,EAS,Dai Chinese,East Asian
HG02382,CDX,EAS,Dai Chinese,East Asian
HG02383,CDX,EAS,Dai Chinese,East Asian
HG02384,CDX,EAS,Dai Chinese,East Asian
HG02385,CDX,EAS,Dai Chinese,East Asian
HG02386,CDX,EAS,Dai Chinese,East Asian
HG02389,CDX,EAS,Dai Chinese,East Asian
HG02390,CDX,EAS,Dai Chinese,East Asian
HG02391,CDX,EAS,Dai Chinese,East Asian
HG02392,CDX,EAS,Dai Chinese,East Asian
HG02394,CDX,EAS,Dai Chinese,East Asian
HG02395,CDX,EAS,Dai Chinese,East Asian
HG02396,CDX,EAS,Dai Chinese,East Asian
HG02397,CDX,EAS,Dai Chinese,East Asian
HG02398,CDX,EAS,Dai Chinese,East Asian
HG02399,CDX,EAS,Dai Chinese,East Asian
HG02401,CDX,EAS,Dai Chinese,East Asian
HG02402,CDX,EAS,Dai Chinese,East Asian
HG02406,CDX,EAS,Dai Chinese,East Asian
HG02407,CDX,EAS,Dai Chinese,East Asian
HG02408,CDX,EAS,Dai Chinese,East Asian
HG02409,CDX,EAS,Dai Chinese,East Asian
HG02410,CDX,EAS,Dai Chinese,East Asian
HG02419,ACB,AMR,African-Caribbean,American
HG02420,ACB,AMR,African-Caribbean,American
HG02425,PEL,AMR,Peruvian,American
HG02427,ACB,AMR,African-Caribbean,American
HG02429,ACB,AMR,African-Caribbean,American
HG02433,ACB,AMR,African-Caribbean,American
HG02439,ACB,AMR,African-Caribbean,American
HG02442,ACB,AMR,African-Caribbean,American
HG02445,ACB,AMR,African-Caribbean,American
HG02449,ACB,AMR,African-Caribbean,American
HG02450,ACB,AMR,African-Caribbean,American
HG02455,ACB,AMR,African-Caribbean,American
HG02461,GWD,AFR,Gambian,African
HG02462,GWD,AFR,Gambian,African
HG02464,GWD,AFR,Gambian,African
HG02465,GWD,AFR,Gambian,African
HG02470,ACB,AMR,African-Caribbean,American
HG02471,ACB,AMR,African-Caribbean,American
HG02476,ACB,AMR,African-Caribbean,American
HG02477,ACB,AMR,African-Caribbean,American
HG02479,ACB,AMR,African-Caribbean,American
HG02481,ACB,AMR,African-Caribbean,American
HG02484,ACB,AMR,African-Caribbean,American
HG02485,ACB,AMR,African-Caribbean,American
HG02489,ACB,AMR,African-Caribbean,American
HG02490,PJL,SAS,,South Asian
HG02491,PJL,SAS,,South Asian
HG02493,PJL,SAS,,South Asian
HG02494,PJL,SAS,,South Asian
HG02496,ACB,AMR,African-Caribbean,American
HG02497,ACB,AMR,African-Caribbean,American
HG02501,ACB,AMR,African-Caribbean,American
HG02502,ACB,AMR,African-Caribbean,American
HG02505,ACB,AMR,African-Caribbean,American
HG02508,ACB,AMR,African-Caribbean,American
HG02511,ACB,AMR,African-Caribbean,American
HG02512,KHV,EAS,King Vietnamese,East Asian
HG02513,KHV,EAS,King Vietnamese,East Asian
HG02521,KHV,EAS,King Vietnamese,East Asian
HG02522,KHV,EAS,King Vietnamese,East Asian
HG02536,ACB,AMR,African-Caribbean,American
HG02537,ACB,AMR,African-Caribbean,American
HG02541,ACB,AMR,African-Caribbean,American
HG02545,ACB,AMR,African-Caribbean,American
HG02546,ACB,AMR,African-Caribbean,American
HG02549,ACB,AMR,African-Caribbean,American
HG02554,ACB,AMR,African-Caribbean,American
HG02555,ACB,AMR,African-Caribbean,American
HG02557,ACB,AMR,African-Caribbean,American
HG02558,ACB,AMR,African-Caribbean,American
HG02561,GWD,AFR,Gambian,African
HG02562,GWD,AFR,Gambian,African
HG02568,GWD,AFR,Gambian,African
HG02570,GWD,AFR,Gambian,African
HG02571,GWD,AFR,Gambian,African
HG02573,GWD,AFR,Gambian,African
HG02574,GWD,AFR,Gambian,African
HG02577,ACB,AMR,African-Caribbean,American
HG02580,ACB,AMR,African-Caribbean,American
HG02582,GWD,AFR,Gambian,African
HG02583,GWD,AFR,Gambian,African
HG02585,GWD,AFR,Gambian,African
HG02586,GWD,AFR,Gambian,African
HG02588,GWD,AFR,Gambian,African
HG02589,GWD,AFR,Gambian,African
HG02594,GWD,AFR,Gambian,African
HG02595,GWD,AFR,Gambian,African
HG02597,PJL,SAS,,South Asian
HG02600,PJL,SAS,,South Asian
HG02601,PJL,SAS,,South Asian
HG02603,PJL,SAS,,South Asian
HG02604,PJL,SAS,,South Asian
HG02610,GWD,AFR,Gambian,African
HG02611,GWD,AFR,Gambian,African
HG02613,GWD,AFR,Gambian,African
HG02614,GWD,AFR,Gambian,African
HG02620,GWD,AFR,Gambian,African
HG02621,GWD,AFR,Gambian,African
HG02623,GWD,AFR,Gambian,African
HG02624,GWD,AFR,Gambian,African
HG02628,GWD,AFR,Gambian,African
HG02629,GWD,AFR,Gambian,African
HG02634,GWD,AFR,Gambian,African
HG02635,GWD,AFR,Gambian,African
HG02642,GWD,AFR,Gambian,African
HG02643,GWD,AFR,Gambian,African
HG02645,GWD,AFR,Gambian,African
HG02646,GWD,AFR,Gambian,African
HG02648,PJL,SAS,,South Asian
HG02649,PJL,SAS,,South Asian
HG02651,PJL,SAS,,South Asian
HG02652,PJL,SAS,,South Asian
HG02654,PJL,SAS,,South Asian
HG02655,PJL,SAS,,South Asian
HG02657,PJL,SAS,,South Asian
HG02658,PJL,SAS,,South Asian
HG02660,PJL,SAS,,South Asian
HG02661,PJL,SAS,,South Asian
HG02666,GWD,AFR,Gambian,African
HG02667,GWD,AFR,Gambian,African
HG02675,GWD,AFR,Gambian,African
HG02676,GWD,AFR,Gambian,African
HG02678,GWD,AFR,Gambian,African
HG02679,GWD,AFR,Gambian,African
HG02681,PJL,SAS,,South Asian
HG02682,PJL,SAS,,South Asian
HG02684,PJL,SAS,,South Asian
HG02685,PJL,SAS,,South Asian
HG02687,PJL,SAS,,South Asian
HG02688,PJL,SAS,,South Asian
HG02690,PJL,SAS,,South Asian
HG02691,PJL,SAS,,South Asian
HG02694,PJL,SAS,,South Asian
HG02696,PJL,SAS,,South Asian
HG02697,PJL,SAS,,South Asian
HG02699,PJL,SAS,,South Asian
HG02700,PJL,SAS,,South Asian
HG02702,GWD,AFR,Gambian,African
HG02703,GWD,AFR,Gambian,African
HG02715,GWD,AFR,Gambian,African
HG02716,GWD,AFR,Gambian,African
HG02721,GWD,AFR,Gambian,African
HG02722,GWD,AFR,Gambian,African
HG02724,PJL,SAS,,South Asian
HG02725,PJL,SAS,,South Asian
HG02727,PJL,SAS,,South Asian
HG02728,PJL,SAS,,South Asian
HG02731,PJL,SAS,,South Asian
HG02733,PJL,SAS,,South Asian
HG02734,PJL,SAS,,South Asian
HG02736,PJL,SAS,,South Asian
HG02737,PJL,SAS,,South Asian
HG02756,GWD,AFR,Gambian,African
HG02757,GWD,AFR,Gambian,African
HG02759,GWD,AFR,Gambian,African
HG02760,GWD,AFR,Gambian,African
HG02763,GWD,AFR,Gambian,African
HG02768,GWD,AFR,Gambian,African
HG02769,GWD,AFR,Gambian,African
HG02771,GWD,AFR,Gambian,African
HG02772,GWD,AFR,Gambian,African
HG02774,PJL,SAS,,South Asian
HG02775,PJL,SAS,,South Asian
HG02778,PJL,SAS,,South Asian
HG02780,PJL,SAS,,South Asian
HG02783,PJL,SAS,,South Asian
HG02784,PJL,SAS,,South Asian
HG02786,PJL,SAS,,South Asian
HG02787,PJL,SAS,,South Asian
HG02789,PJL,SAS,,South Asian
HG02790,PJL,SAS,,South Asian
HG02792,PJL,SAS,,South Asian
HG02793,PJL,SAS,,South Asian
HG02798,GWD,AFR,Gambian,African
HG02799,GWD,AFR,Gambian,African
HG02804,GWD,AFR,Gambian,African
HG02805,GWD,AFR,Gambian,African
HG02807,GWD,AFR,Gambian,African
HG02808,GWD,AFR,Gambian,African
HG02810,GWD,AFR,Gambian,African
HG02811,GWD,AFR,Gambian,African
HG02813,GWD,AFR,Gambian,African
HG02814,GWD,AFR,Gambian,African
HG02816,GWD,AFR,Gambian,African
HG02817,GWD,AFR,Gambian,African
HG02819,GWD,AFR,Gambian,African
HG02820,GWD,AFR,Gambian,African
HG02836,GWD,AFR,Gambian,African
HG02837,GWD,AFR,Gambian,African
HG02839,GWD,AFR,Gambian,African
HG02840,GWD,AFR,Gambian,African
HG02851,GWD,AFR,Gambian,African
HG02852,GWD,AFR,Gambian,African
HG02854,GWD,AFR,Gambian,African
HG02855,GWD,AFR,Gambian,African
HG02860,GWD,AFR,Gambian,African
HG02861,GWD,AFR,Gambian,African
HG02870,GWD,AFR,Gambian,African
HG02878,GWD,AFR,Gambian,African
HG02879,GWD,AFR,Gambian,African
HG02881,GWD,AFR,Gambian,African
HG02882,GWD,AFR,Gambian,African
HG02884,GWD,AFR,Gambian,African
HG02885,GWD,AFR,Gambian,African
HG02887,GWD,AFR,Gambian,African
HG02888,GWD,AFR,Gambian,African
HG02890,GWD,AFR,Gambian,African
HG02891,GWD,AFR,Gambian,African
HG02895,GWD,AFR,Gambian,African
HG02896,GWD,AFR,Gambian,African
HG02922,ESN,AFR,Esan,African
HG02923,ESN,AFR,Esan,African
HG02938,ESN,AFR,Esan,African
HG02941,ESN,AFR,Esan,African
HG02943,ESN,AFR,Esan,African
HG02944,ESN,AFR,Esan,African
HG02946,ESN,AFR,Esan,African
HG02947,ESN,AFR,Esan,African
HG02952,ESN,AFR,Esan,African
HG02953,ESN,AFR,Esan,African
HG02968,ESN,AFR,Esan,African
HG02970,ESN,AFR,Esan,African
HG02971,ESN,AFR,Esan,African
HG02973,ESN,AFR,Esan,African
HG02974,ESN,AFR,Esan,African
HG02976,ESN,AFR,Esan,African
HG02977,ESN,AFR,Esan,African
HG02979,ESN,AFR,Esan,African
HG02981,ESN,AFR,Esan,African
HG02982,GWD,AFR,Gambian,African
HG02983,GWD,AFR,Gambian,African
HG03006,BEB,SAS,Bengali,South Asian
HG03007,BEB,SAS,Bengali,South Asian
HG03009,BEB,SAS,Bengali,South Asian
HG03012,BEB,SAS,Bengali,South Asian
HG03015,PJL,SAS,,South Asian
HG03016,PJL,SAS,,South Asian
HG03018,PJL,SAS,,South Asian
HG03019,PJL,SAS,,South Asian
HG03021,PJL,SAS,,South Asian
HG03022,PJL,SAS,,South Asian
HG03024,GWD,AFR,Gambian,African
HG03025,GWD,AFR,Gambian,African
HG03027,GWD,AFR,Gambian,African
HG03028,GWD,AFR,Gambian,African
HG03039,GWD,AFR,Gambian,African
HG03040,GWD,AFR,Gambian,African
HG03045,GWD,AFR,Gambian,African
HG03046,GWD,AFR,Gambian,African
HG03048,GWD,AFR,Gambian,African
HG03049,GWD,AFR,Gambian,African
HG03052,MSL,AFR,Mende,African
HG03054,MSL,AFR,Mende,African
HG03055,MSL,AFR,Mende,African
HG03057,MSL,AFR,Mende,African
HG03058,MSL,AFR,Mende,African
HG03060,MSL,AFR,Mende,African
HG03061,MSL,AFR,Mende,African
HG03063,MSL,AFR,Mende,African
HG03064,MSL,AFR,Mende,African
HG03066,MSL,AFR,Mende,African
HG03069,MSL,AFR,Mende,African
HG03072,MSL,AFR,Mende,African
HG03073,MSL,AFR,Mende,African
HG03074,MSL,AFR,Mende,African
HG03077,MSL,AFR,Mende,African
HG03078,MSL,AFR,Mende,African
HG03079,MSL,AFR,Mende,African
HG03081,MSL,AFR,Mende,African
HG03082,MSL,AFR,Mende,African
HG03084,MSL,AFR,Mende,African
HG03085,MSL,AFR,Mende,African
HG03086,MSL,AFR,Mende,African
HG03088,MSL,AFR,Mende,African
HG03091,MSL,AFR,Mende,African
HG03095,MSL,AFR,Mende,African
HG03096,MSL,AFR,Mende,African
HG03097,MSL,AFR,Mende,African
HG03099,ESN,AFR,Esan,African
HG03100,ESN,AFR,Esan,African
HG03103,ESN,AFR,Esan,African
HG03105,ESN,AFR,Esan,African
HG03108,ESN,AFR,Esan,African
HG03109,ESN,AFR,Esan,African
HG03111,ESN,AFR,Esan,African
HG03112,ESN,AFR,Esan,African
HG03114,ESN,AFR,Esan,African
HG03115,ESN,AFR,Esan,African
HG03117,ESN,AFR,Esan,African
HG03118,ESN,AFR,Esan,African
HG03120,ESN,AFR,Esan,African
HG03121,ESN,AFR,Esan,African
HG03123,ESN,AFR,Esan,African
HG03124,ESN,AFR,Esan,African
HG03126,ESN,AFR,Esan,African
HG03127,ESN,AFR,Esan,African
HG03129,ESN,AFR,Esan,African
HG03130,ESN,AFR,Esan,African
HG03132,ESN,AFR,Esan,African
HG03133,ESN,AFR,Esan,African
HG03135,ESN,AFR,Esan,African
HG03136,ESN,AFR,Esan,African
HG03139,ESN,AFR,Esan,African
HG03157,ESN,AFR,Esan,African
HG03159,ESN,AFR,Esan,African
HG03160,ESN,AFR,Esan,African
HG03162,ESN,AFR,Esan,African
HG03163,ESN,AFR,Esan,African
HG03166,ESN,AFR,Esan,African
HG03168,ESN,AFR,Esan,African
HG03169,ESN,AFR,Esan,African
HG03172,ESN,AFR,Esan,African
HG03175,ESN,AFR,Esan,African
HG03189,ESN,AFR,Esan,African
HG03190,ESN,AFR,Esan,African
HG03193,ESN,AFR,Esan,African
HG03195,ESN,AFR,Esan,African
HG03196,ESN,AFR,Esan,African
HG03198,ESN,AFR,Esan,African
HG03199,ESN,AFR,Esan,African
HG03202,ESN,AFR,Esan,African
HG03209,MSL,AFR,Mende,African
HG03212,MSL,AFR,Mende,African
HG03224,MSL,AFR,Mende,African
HG03225,MSL,AFR,Mende,African
HG03228,PJL,SAS,,South Asian
HG03229,PJL,SAS,,South Asian
HG03234,PJL,SAS,,South Asian
HG03235,PJL,SAS,,South Asian
HG03237,PJL,SAS,,South Asian
HG03238,PJL,SAS,,South Asian
HG03240,GWD,AFR,Gambian,African
HG03241,GWD,AFR,Gambian,African
HG03246,GWD,AFR,Gambian,African
HG03247,GWD,AFR,Gambian,African
HG03258,GWD,AFR,Gambian,African
HG03259,GWD,AFR,Gambian,African
HG03265,ESN,AFR,Esan,African
HG03267,ESN,AFR,Esan,African
HG03268,ESN,AFR,Esan,African
HG03270,ESN,AFR,Esan,African
HG03271,ESN,AFR,Esan,African
HG03279,ESN,AFR,Esan,African
HG03280,ESN,AFR,Esan,African
HG03291,ESN,AFR,Esan,African
HG03294,ESN,AFR,Esan,African
HG03295,ESN,AFR,Esan,African
HG03297,ESN,AFR,Esan,African
HG03298,ESN,AFR,Esan,African
HG03300,ESN,AFR,Esan,African
HG03301,ESN,AFR,Esan,African
HG03303,ESN,AFR,Esan,African
HG03304,ESN,AFR,Esan,African
HG03311,ESN,AFR,Esan,African
HG03313,ESN,AFR,Esan,African
HG03342,ESN,AFR,Esan,African
HG03343,ESN,AFR,Esan,African
HG03351,ESN,AFR,Esan,African
HG03352,ESN,AFR,Esan,African
HG03354,ESN,AFR,Esan,African
HG03363,ESN,AFR,Esan,African
HG03366,ESN,AFR,Esan,African
HG03367,ESN,AFR,Esan,African
HG03369,ESN,AFR,Esan,African
HG03370,ESN,AFR,Esan,African
HG03372,ESN,AFR,Esan,African
HG03376,MSL,AFR,Mende,African
HG03378,MSL,AFR,Mende,African
HG03380,MSL,AFR,Mende,African
HG03382,MSL,AFR,Mende,African
HG03385,MSL,AFR,Mende,African
HG03388,MSL,AFR,Mende,African
HG03391,MSL,AFR,Mende,African
